date,country,cnt,V_18_60,V_18_60_adj,V_60,V_60_adj,V_tot,V_tot_adj
2021-01-21,Denmark,DNK,0.02737400074292177,0.02861579061279759,0.05816405831202261,0.05588132595258616,0.029872489842267078,0.034130124607048284
2021-01-22,Denmark,DNK,0.027481879156234696,0.028728562805506827,0.05834087278365393,0.05605120108525588,0.02997671135065702,0.03424920048879987
2021-01-23,Denmark,DNK,0.027589757569547624,0.02884133499821606,0.05851768725528525,0.0562210762179256,0.03008093285904696,0.034368276370551454
2021-01-24,Denmark,DNK,0.02769763598286055,0.0289541071909253,0.05869450172691657,0.056390951350595325,0.030185154367436903,0.03448735225230304
2021-01-25,Denmark,DNK,0.027810026249511535,0.029071595911978713,0.059384525677327014,0.05705389431583898,0.030424068926924015,0.03476031857445392
2021-01-26,Denmark,DNK,0.027922416516162517,0.029189084633032124,0.06007454962773746,0.057716837281082636,0.030662983486411128,0.0350332848966048
2021-01-27,Denmark,DNK,0.0280348067828135,0.029306573354085538,0.0607645735781479,0.05837978024632629,0.03090189804589824,0.035306251218755684
2021-01-28,Denmark,DNK,0.028147197049464487,0.029424062075138948,0.06145459752855835,0.05904272321156995,0.031140812605385353,0.035579217540906566
2021-01-29,Denmark,DNK,0.02825958731611547,0.029541550796192362,0.06214462147896879,0.0597056661768136,0.031379727164872466,0.03585218386305745
2021-01-30,Denmark,DNK,0.028371977582766453,0.029659039517245772,0.06283464542937924,0.06036860914205726,0.031618641724359575,0.03612515018520833
2021-01-31,Denmark,DNK,0.028484367849417436,0.029776528238299186,0.06352466937978968,0.061031552107300914,0.03185755628384669,0.03639811650735921
2021-02-01,Denmark,DNK,0.029246780826482195,0.030573527197897965,0.06564311051028257,0.06306685196016501,0.0328179987012057,0.0374954478498567
2021-02-02,Denmark,DNK,0.030009193803546958,0.03137052615749674,0.06776155164077545,0.0651021518130291,0.0337784411185647,0.03859277919235419
2021-02-03,Denmark,DNK,0.030771606780611718,0.03216752511709552,0.06987999277126834,0.0671374516658932,0.034738883535923706,0.03969011053485168
2021-02-04,Denmark,DNK,0.03153401975767648,0.0329645240766943,0.07199843390176124,0.06917275151875729,0.03569932595328271,0.04078744187734916
2021-02-05,Denmark,DNK,0.03229643273474124,0.033761523036293074,0.07411687503225413,0.07120805137162138,0.036659768370641714,0.04188477321984665
