X,country,cnt,date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,StringencyIndex
10609,Finland,FIN,2021-05-28,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10610,Finland,FIN,2021-05-29,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10611,Finland,FIN,2021-05-30,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10612,Finland,FIN,2021-05-31,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10613,Finland,FIN,2021-06-01,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10614,Finland,FIN,2021-06-02,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10615,Finland,FIN,2021-06-03,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10616,Finland,FIN,2021-06-04,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10617,Finland,FIN,2021-06-05,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10618,Finland,FIN,2021-06-06,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10619,Finland,FIN,2021-06-07,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10620,Finland,FIN,2021-06-08,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10621,Finland,FIN,2021-06-09,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10622,Finland,FIN,2021-06-10,2,2,1,4,0,1,0,3,2,1,2,2,1,2,49.54
10623,Finland,FIN,2021-06-11,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10624,Finland,FIN,2021-06-12,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10625,Finland,FIN,2021-06-13,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10626,Finland,FIN,2021-06-14,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10627,Finland,FIN,2021-06-15,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10628,Finland,FIN,2021-06-16,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10629,Finland,FIN,2021-06-17,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10630,Finland,FIN,2021-06-18,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10631,Finland,FIN,2021-06-19,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10632,Finland,FIN,2021-06-20,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10633,Finland,FIN,2021-06-21,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10634,Finland,FIN,2021-06-22,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10635,Finland,FIN,2021-06-23,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10636,Finland,FIN,2021-06-24,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10637,Finland,FIN,2021-06-25,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10638,Finland,FIN,2021-06-26,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10639,Finland,FIN,2021-06-27,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10640,Finland,FIN,2021-06-28,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10641,Finland,FIN,2021-06-29,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10642,Finland,FIN,2021-06-30,2,2,1,4,0,1,0,3,2,1,2,2,1,2,47.69
10643,Finland,FIN,2021-07-01,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10644,Finland,FIN,2021-07-02,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10645,Finland,FIN,2021-07-03,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10646,Finland,FIN,2021-07-04,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10647,Finland,FIN,2021-07-05,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10648,Finland,FIN,2021-07-06,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10649,Finland,FIN,2021-07-07,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10650,Finland,FIN,2021-07-08,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10651,Finland,FIN,2021-07-09,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10652,Finland,FIN,2021-07-10,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10653,Finland,FIN,2021-07-11,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10654,Finland,FIN,2021-07-12,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10655,Finland,FIN,2021-07-13,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10656,Finland,FIN,2021-07-14,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
10657,Finland,FIN,2021-07-15,1,1,1,4,0,1,0,3,2,1,2,2,1,2,43.98
